time_merge_log,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_angular_z,odom_jarak_cm,odom_heading_deg,odom_timestamp,loadcell_berat_kg,loadcell_timestamp,interval_s,elapsed_time_s
1753887455.562738,3.423522725428997,-0.2000495304949383,0.0,0.0,0.0,0.9903586627713944,0.1385269615405443,0.03243370027595717,0.0,0.0,0.0,0.0,0.05145624683723342,342.94,164.0747663551405,1753887455.5583317,30.09000015258789,1753887455.4289527,0.049310922622680664,18.052586555480957
1753887455.6156144,3.4229017723928177,-0.1998716285276712,0.0,0.0,0.0,0.9903586627713948,0.13852696154054123,0.02987946799448536,0.0,0.0,0.0,0.0,0.03395377956634015,342.87,164.07476635514084,1753887455.5965254,30.09000015258789,1753887455.4289527,0.05287647247314453,18.1054630279541
1753887455.6632402,3.4216600580821757,-0.19951515616976337,0.0,0.0,0.0,0.9903586627713946,0.13852696154054278,0.02602302730066373,0.0,0.0,0.0,0.0,0.002257203323939075,342.75,164.07476635514067,1753887455.658416,30.09000015258789,1753887455.4289527,0.04762578010559082,18.153088808059692
1753887455.7134094,3.420728246443961,-0.19924964047746205,0.0,0.0,0.0,0.9905072211814301,0.13746070270241412,0.020726025810207785,0.0,0.0,0.0,0.0,0.03578863402051468,342.65,164.19813084112195,1753887455.696482,30.09000015258789,1753887455.4289527,0.05016922950744629,18.20325803756714
1753887455.7633488,3.4191720982518095,-0.19881827373047875,0.0,0.0,0.0,0.9912327902007527,0.13212704352565563,0.02385611622876601,0.0,0.0,0.0,0.0,0.12432218891628743,342.49,164.81495327102857,1753887455.7583249,30.09000015258789,1753887455.4289527,0.04993939399719238,18.25319743156433
1753887455.8134115,3.4182367526810284,-0.19856548889076167,0.0,0.0,0.0,0.9913744582211605,0.13105984734731094,0.023270095657352365,0.0,0.0,0.0,0.0,0.12078513213779693,342.4,164.93831775700986,1753887455.795827,30.09000015258789,1753887455.4289527,0.05006265640258789,18.30326008796692
1753887455.8631277,3.416676223826087,-0.19815022610737634,0.0,0.0,0.0,0.9917925677480692,0.12785735238808713,0.02608608480029741,0.0,0.0,0.0,0.0,0.10520171361980976,342.24,165.3084112149537,1753887455.8582907,30.09000015258789,1753887455.4289527,0.04971623420715332,18.352976322174072
1753887455.9134681,3.416051056943434,-0.19798775251453554,0.0,0.0,0.0,0.992065560375478,0.12572161276760965,0.02581159324945858,0.0,0.0,0.0,0.0,0.10337176994755089,342.18,165.55514018691647,1753887455.8965037,30.09000015258789,1753887455.8775046,0.05034041404724121,18.403316736221313
1753887455.9707506,3.4147998544152323,-0.19766617196998137,0.0,0.0,0.0,0.992333953877523,0.12358529031321674,0.01829793131426563,0.0,0.0,0.0,0.0,0.08526210245314106,342.05,165.80186915887887,1753887455.9582312,30.09000015258789,1753887455.8775046,0.057282447814941406,18.460599184036255
1753887456.0175786,3.4141733114372084,-0.19750908856466795,0.0,0.0,0.0,0.992597747009957,0.12144839492869959,0.01822767574483885,0.0,0.0,0.0,0.0,0.08479373199029584,341.99,166.04859813084144,1753887455.996289,30.09000015258789,1753887455.8775046,0.04682803153991699,18.507427215576172
1753887456.0628994,3.4132322431797153,-0.19727852589349074,0.0,0.0,0.0,0.9929848083462808,0.11824199927902078,0.015346053068120577,0.0,0.0,0.0,0.0,0.1023070204541165,341.89,166.41869158878546,1753887456.0584943,30.09000015258789,1753887455.8775046,0.045320749282836914,18.55274796485901
1753887456.1140282,3.4132322431797153,-0.19727852589349074,0.0,0.0,0.0,0.9929848083462808,0.11824199927902078,0.010137554137768442,0.0,0.0,0.0,0.0,0.06758369425176894,341.89,166.41869158878546,1753887456.0958633,30.09000015258789,1753887455.8775046,0.05112886428833008,18.60387682914734
1753887456.1628797,3.4119763342002303,-0.1969758385854411,0.0,0.0,0.0,0.9929848083462808,0.11824199927902078,0.015355708628523057,0.0,0.0,0.0,0.0,0.03557871108441052,341.77,166.41869158878546,1753887456.1582282,30.09000015258789,1753887455.8775046,0.04885149002075195,18.65272831916809
1753887456.2171695,3.41103493450542,-0.19674662661676998,0.0,0.0,0.0,0.9928569385498593,0.11931093652050857,0.017835462511433954,0.0,0.0,0.0,0.0,-0.015838432898485806,341.67,166.29532710280435,1753887456.196045,30.09000015258789,1753887455.8775046,0.054289817810058594,18.70701813697815
1753887456.2631252,3.41072124460151,-0.19666977227428104,0.0,0.0,0.0,0.9927279180545742,0.12037973548330565,0.010166722059990425,0.0,0.0,0.0,0.0,-0.03430337138884204,341.64,166.17196261682307,1753887456.2581782,30.09000015258789,1753887455.8775046,0.045955657958984375,18.752973794937134
1753887456.3133643,3.4104077209009405,-0.19659224269956324,0.0,0.0,0.0,0.9925977470099574,0.1214483949286965,0.010125730850055113,0.0,0.0,0.0,0.0,-0.03403009665593995,341.61,166.04859813084178,1753887456.2958667,30.09000015258789,1753887455.8775046,0.05023908615112305,18.803212881088257
1753887456.36316,3.409466652643448,-0.1963616800283861,0.0,0.0,0.0,0.992984808346281,0.11824199927901924,0.010198472801362676,0.0,0.0,0.0,0.0,0.03406230728367378,341.51,166.41869158878566,1753887456.3582263,30.079999923706055,1753887456.3384004,0.04979562759399414,18.85300850868225
1753887456.4133148,3.408838454910875,-0.19621135069549844,0.0,0.0,0.0,0.9932370952510747,0.11610371491561955,0.015085384677324645,0.0,0.0,0.0,0.0,0.0666417197900869,341.45,166.66542056074823,1753887456.397142,30.079999923706055,1753887456.3384004,0.050154924392700195,18.90316343307495
1753887456.4716241,3.407894959093242,-0.19599093233712386,0.0,0.0,0.0,0.9936068917051859,0.11289528225731539,0.014927025159470576,0.0,0.0,0.0,0.0,0.09951350106311645,341.35,167.03551401869208,1753887456.4592519,30.079999923706055,1753887456.3384004,0.058309316635131836,18.961472749710083
1753887456.5133371,3.4075801465269007,-0.1959188144208449,0.0,0.0,0.0,0.9937278542429533,0.11182554136553834,0.012480805760440191,0.0,0.0,0.0,0.0,0.08320537173624723,341.32,167.15887850467354,1753887456.4957743,30.079999923706055,1753887456.3384004,0.04171299934387207,19.003185749053955
1753887456.563369,3.4069500592090836,-0.1957766129037587,0.0,0.0,0.0,0.993966324054924,0.10968567201208036,0.010172367218127708,0.0,0.0,0.0,0.0,0.06781578145416398,341.26,167.4056074766361,1753887456.5584388,30.079999923706055,1753887456.3384004,0.05003190040588379,19.05321764945984
1753887456.6133523,3.4066347873786342,-0.19570652996218457,0.0,0.0,0.0,0.9940838310527464,0.10861554603045834,0.010364403392468705,0.0,0.0,0.0,0.0,0.0690960226164373,341.23,167.52897196261742,1753887456.596323,30.079999923706055,1753887456.3384004,0.04998326301574707,19.103200912475586
1753887456.663298,3.406003794682505,-0.19556840133746342,0.0,0.0,0.0,0.9943153885511257,0.10647491765868652,0.007823575601452883,0.0,0.0,0.0,0.0,0.0521571706763318,341.16,167.77570093458,1753887456.6585963,30.079999923706055,1753887456.3384004,0.04994559288024902,19.153146505355835
1753887456.7249074,3.405688076742049,-0.19550035629466805,0.0,0.0,0.0,0.9944294387833125,0.10540441774947688,0.00789203626081066,0.0,0.0,0.0,0.0,0.05261357507205031,341.13,167.89906542056127,1753887456.6957474,30.079999923706055,1753887456.3384004,0.061609506607055664,19.21475601196289
1753887456.7630494,3.405372213024625,-0.1954329911865672,0.0,0.0,0.0,0.9945423364941434,0.10433379567891748,0.007456648164009457,0.0,0.0,0.0,0.0,0.049710987760042305,341.1,168.02242990654256,1753887456.7582192,30.079999923706055,1753887456.3384004,0.03814196586608887,19.25289797782898
1753887456.8142803,3.405372213024625,-0.1954329911865672,0.0,0.0,0.0,0.9945423364941434,0.10433379567891748,0.0022499065694773983,0.0,0.0,0.0,0.0,0.014999377129828583,341.1,168.02242990654256,1753887456.7962213,30.09000015258789,1753887456.7713532,0.05123090744018555,19.304128885269165
