time,range_0,range_90,range_180,range_270,range_360,
1750668988.77,inf,0.246000006794929,0.793749988079071,0.501749992370606,,
1750668989.30277,inf,inf,0.794749975204468,0.501999974250793,,
1750668989.87981,inf,inf,0.796249985694885,0.503499984741211,,
1750668990.45783,inf,inf,0.798500001430512,0.502749979496002,,
1750668990.94659,inf,inf,0.793500006198883,0.502250015735626,,
1750668991.52419,inf,0.242500007152557,0.800499975681305,0.503000020980835,,
1750668992.10146,inf,inf,0.792999982833862,0.504499971866608,,
1750668992.63406,inf,inf,0.796999990940094,0.502749979496002,,
1750668993.21151,inf,0.243750005960464,0.800000011920929,0.503000020980835,,
1750668993.7888,inf,inf,0.798500001430512,0.503499984741211,,
1750668994.32309,inf,inf,0.791999995708466,0.500999987125397,,
1750668994.90022,1.49150002002716,0.24099999666214,0.794000029563904,0.501999974250793,,
1750668995.47699,inf,0.247749999165535,0.796500027179718,0.502250015735626,,
1750668995.96538,inf,0.242750003933907,0.792999982833862,0.504499971866608,,
1750668996.45459,inf,0.248249992728233,0.796750009059906,0.502749979496002,,
1750668996.98706,inf,inf,0.793749988079071,0.502250015735626,,
1750668997.56457,inf,0.239250004291534,0.795249998569489,0.502250015735626,,
1750668998.0542,inf,inf,0.796999990940094,0.503499984741211,,
1750668998.58683,inf,inf,0.79449999332428,0.502499997615814,,
1750668999.16426,inf,0.247999995946884,0.796999990940094,0.502749979496002,,
1750668999.65243,inf,0.247749999165535,0.796500027179718,0.503000020980835,,
1750669000.23008,inf,inf,0.79449999332428,0.501999974250793,,
1750669000.71866,inf,inf,0.79449999332428,0.501999974250793,,
1750669001.16326,inf,inf,0.794749975204468,0.502499997615814,,
1750669001.74023,inf,inf,0.798250019550324,0.50475001335144,,
1750669002.31809,inf,inf,0.79449999332428,0.503250002861023,,
1750669002.80709,inf,inf,0.793749988079071,0.502250015735626,,
1750669003.38464,inf,inf,0.795000016689301,0.50424998998642,,
1750669003.96217,inf,inf,0.794250011444092,0.504499971866608,,
1750669004.53948,inf,inf,0.79449999332428,0.502749979496002,,
1750669005.11617,inf,inf,0.794000029563904,0.501999974250793,,
1750669005.69449,inf,inf,0.797500014305115,0.502749979496002,,
1750669006.27162,inf,inf,0.795000016689301,0.502749979496002,,
1750669006.84919,inf,inf,0.792750000953674,0.504499971866608,,
1750669007.33805,inf,inf,0.794749975204468,0.502250015735626,,
1750669007.91563,inf,inf,0.792500019073486,0.503499984741211,,
1750669008.4931,inf,inf,0.792500019073486,0.504999995231628,,
1750669009.02516,inf,inf,0.790000021457672,0.500999987125397,,
1750669009.60314,inf,0.246749997138977,0.796249985694885,0.502250015735626,,
1750669010.04757,inf,0.242500007152557,0.79025000333786,0.501749992370606,,
1750669010.62433,inf,0.247999995946884,0.795499980449677,0.502499997615814,,
1750669011.15739,inf,inf,0.79449999332428,0.502250015735626,,
1750669011.69049,inf,inf,0.796249985694885,0.503000020980835,,
1750669012.22366,inf,inf,0.79925000667572,0.503000020980835,,
1750669012.75658,inf,0.248999997973442,0.796249985694885,0.504000008106232,,
1750669013.33432,inf,inf,0.795249998569489,0.503000020980835,,
1750669013.8671,inf,inf,0.79925000667572,0.505249977111816,,
1750669014.44536,inf,0.247500002384186,0.795249998569489,0.502749979496002,,
1750669015.02313,inf,inf,0.79449999332428,0.502250015735626,,
1750669015.60015,inf,0.243249997496605,0.79925000667572,0.50475001335144,,
1750669016.17759,inf,inf,0.795750021934509,0.502749979496002,,
1750669016.71096,inf,inf,0.792999982833862,0.50125002861023,,
1750669017.19944,inf,0.25,0.797249972820282,0.502749979496002,,
1750669017.77688,inf,inf,0.79449999332428,0.502250015735626,,
1750669018.35437,inf,inf,0.79449999332428,0.502250015735626,,
1750669018.9316,inf,inf,0.793500006198883,0.501999974250793,,
1750669019.50929,inf,0.248750001192093,0.796249985694885,0.503499984741211,,
1750669019.90894,inf,inf,0.796249985694885,0.503000020980835,,
1750669020.48633,inf,inf,0.79925000667572,0.505249977111816,,
1750669021.06411,inf,inf,0.797999978065491,0.50475001335144,,
1750669021.50825,inf,inf,0.794749975204468,0.502499997615814,,
1750669022.04089,inf,inf,0.796999990940094,0.503499984741211,,
1750669022.5306,inf,inf,0.796750009059906,0.503499984741211,,
1750669022.93042,inf,inf,0.797500014305115,0.503000020980835,,
1750669023.50738,inf,inf,0.794000029563904,0.501749992370606,,
1750669024.08461,inf,inf,0.795000016689301,0.502250015735626,,
1750669024.66138,inf,inf,0.794250011444092,0.50424998998642,,
1750669025.19468,inf,inf,0.795000016689301,0.502250015735626,,
1750669025.68394,inf,inf,0.795249998569489,0.504000008106232,,
1750669026.26102,1.494500041008,0.243750005960464,0.792249977588654,0.50475001335144,,
1750669026.83864,inf,inf,0.800000011920929,0.503250002861023,,
1750669027.41606,inf,0.247999995946884,0.795249998569489,0.502250015735626,,
1750669027.99376,inf,0.243750005960464,0.797749996185303,0.502749979496002,,
1750669028.57116,inf,inf,0.798250019550324,0.502499997615814,,
1750669029.14822,inf,inf,0.79925000667572,0.50475001335144,,
1750669029.72549,inf,inf,0.794000029563904,0.502250015735626,,
1750669030.303,inf,inf,0.796999990940094,0.503000020980835,,
1750669030.79273,inf,inf,0.798250019550324,0.505249977111816,,
1750669031.2369,inf,inf,0.79449999332428,0.506749987602234,,
1750669031.76973,inf,inf,0.794000029563904,0.502250015735626,,
1750669032.30203,inf,inf,0.79925000667572,0.505249977111816,,
1750669032.8796,inf,inf,0.794749975204468,0.501999974250793,,
1750669033.41317,inf,inf,0.795000016689301,0.502250015735626,,
1750669033.99065,inf,inf,0.796500027179718,0.503250002861023,,
1750669034.52347,inf,inf,0.796500027179718,0.502250015735626,,
1750669035.05647,inf,inf,0.797500014305115,0.502749979496002,,
1750669035.63358,inf,inf,0.79925000667572,0.503250002861023,,
1750669036.1671,inf,inf,0.798250019550324,0.504999995231628,,
1750669036.70005,inf,inf,0.797500014305115,0.503250002861023,,
1750669037.27772,inf,inf,0.796500027179718,0.502499997615814,,
1750669037.85478,inf,inf,0.796249985694885,0.503750026226044,,
1750669038.43223,inf,inf,0.797249972820282,0.503499984741211,,
1750669038.92159,inf,inf,0.799499988555908,0.507749974727631,,
1750669039.49872,inf,inf,0.794749975204468,0.502250015735626,,
1750669040.07607,inf,inf,0.793749988079071,0.502250015735626,,
1750669040.65376,inf,inf,0.796249985694885,0.502499997615814,,
1750669041.23086,inf,inf,0.789749979972839,0.50125002861023,,
1750669041.80855,inf,inf,0.79449999332428,0.501999974250793,,
1750669042.3861,inf,inf,0.794250011444092,0.502250015735626,,
1750669042.96304,inf,inf,0.79925000667572,0.503250002861023,,
1750669043.5408,inf,inf,0.798250019550324,0.502749979496002,,
1750669044.07423,inf,inf,0.797999978065491,0.505500018596649,,
1750669044.65102,inf,inf,0.792500019073486,0.50424998998642,,
1750669045.22909,inf,inf,0.792999982833862,0.501749992370606,,
1750669045.80639,inf,inf,0.794749975204468,0.504499971866608,,
1750669046.38423,inf,inf,0.795750021934509,0.502250015735626,,
1750669046.9168,inf,inf,0.79449999332428,0.502250015735626,,
1750669047.49448,inf,inf,inf,0.50424998998642,,
1750669048.07146,inf,inf,0.794000029563904,0.500999987125397,,
1750669048.60535,inf,inf,0.79449999332428,0.502250015735626,,
1750669049.18238,inf,inf,inf,0.506250023841858,,
1750669049.7598,inf,inf,inf,0.502499997615814,,
1750669050.33689,inf,inf,inf,0.508750021457672,,
1750669050.87026,inf,inf,0.794749975204468,0.501999974250793,,
1750669051.18185,inf,inf,0.794749975204468,0.502749979496002,,
1750669051.71452,inf,inf,0.795499980449677,0.502749979496002,,
1750669052.29175,inf,inf,0.798250019550324,0.503000020980835,,
1750669052.86892,inf,inf,0.792500019073486,0.504999995231628,,
1750669053.44666,inf,inf,0.794250011444092,0.502250015735626,,
1750669054.02398,inf,inf,0.799749970436096,0.507749974727631,,
1750669054.60098,inf,inf,0.797749996185303,0.503000020980835,,
1750669055.09063,inf,inf,0.799499988555908,0.503750026226044,,
1750669055.66827,inf,inf,0.792500019073486,0.502250015735626,,
1750669056.24558,inf,inf,0.795750021934509,0.502499997615814,,
1750669056.77816,inf,inf,0.792750000953674,0.502250015735626,,
1750669057.26764,inf,inf,0.800000011920929,0.505500018596649,,
1750669057.84474,inf,inf,0.795000016689301,0.502499997615814,,
1750669058.3782,inf,inf,0.796249985694885,0.502749979496002,,
1750669058.82176,inf,inf,0.79449999332428,0.502499997615814,,
1750669059.35461,inf,inf,0.795249998569489,0.50475001335144,,
1750669059.79859,inf,inf,0.792999982833862,0.50475001335144,,
1750669060.33217,inf,inf,0.800000011920929,0.505500018596649,,
1750669060.90914,inf,inf,0.794250011444092,0.504499971866608,,
1750669061.44308,1.4889999628067,inf,0.794250011444092,0.501749992370606,,
1750669061.93106,inf,inf,0.798250019550324,0.503250002861023,,
1750669062.4202,inf,inf,0.797500014305115,0.503000020980835,,
1750669062.99777,inf,inf,0.796249985694885,0.503499984741211,,
1750669063.39765,inf,inf,0.792249977588654,0.50125002861023,,
1750669063.88551,inf,inf,0.792750000953674,0.504499971866608,,
1750669064.33007,inf,inf,0.800000011920929,0.503499984741211,,
1750669064.86275,inf,inf,0.794749975204468,0.502250015735626,,
1750669065.39573,inf,inf,0.797749996185303,0.503000020980835,,
1750669065.88472,inf,inf,0.798250019550324,0.50475001335144,,
1750669066.46199,inf,inf,0.794000029563904,0.502499997615814,,
1750669066.90638,inf,inf,0.793250024318695,0.502499997615814,,
1750669067.35107,inf,inf,0.79449999332428,0.502250015735626,,
1750669067.88358,inf,inf,0.792500019073486,0.501749992370606,,
1750669068.46092,inf,inf,0.792999982833862,0.501749992370606,,
1750669069.03878,inf,inf,0.798250019550324,0.502749979496002,,
1750669069.61547,inf,inf,0.796500027179718,0.502250015735626,,
1750669070.19336,inf,inf,0.797500014305115,0.503250002861023,,
1750669070.72687,inf,inf,0.799499988555908,0.504999995231628,,
1750669071.25978,inf,inf,0.796999990940094,0.503499984741211,,
1750669071.83721,inf,inf,0.793749988079071,0.502250015735626,,
1750669072.41451,inf,inf,0.79449999332428,0.502250015735626,,
1750669072.99227,inf,inf,0.792500019073486,0.502250015735626,,
1750669073.56935,inf,inf,0.797249972820282,0.502749979496002,,
1750669074.1471,inf,inf,0.794250011444092,0.502499997615814,,
1750669074.72389,inf,inf,0.797500014305115,0.503000020980835,,
1750669075.25795,inf,inf,0.798500001430512,0.505249977111816,,
1750669075.83533,inf,inf,0.792750000953674,0.501749992370606,,
1750669076.32345,inf,inf,0.798749983310699,0.502499997615814,,
1750669076.81252,inf,inf,0.793250024318695,0.502749979496002,,
1750669077.38923,inf,inf,0.79449999332428,0.502250015735626,,
1750669077.9672,inf,inf,0.796999990940094,0.502499997615814,,
1750669078.49995,inf,inf,0.793749988079071,0.502250015735626,,
1750669078.98944,inf,inf,0.79449999332428,0.501999974250793,,
1750669079.47812,inf,inf,0.792249977588654,0.501999974250793,,
1750669079.96656,inf,inf,0.798250019550324,0.503000020980835,,
